model,AARIZ / CVM (Acc),AARIZ / VQA (Acc),BRAR / BRAR (Acc),CODE / Cls (Acc),CODE / Report (METEOR),DENPAR / Arch (Acc),DENPAR / Count (Acc),DENPAR / Site (Acc),DENTALCARIES / Cls (Acc),DENTALCARIES / Detect (Acc),DR / DR Cls (F1w),METADENT / Cap (BERT-F1),METADENT / Cls (F1),METADENT / VQA (Acc)
gemini-2.5-flash,0.194,0.28,0.304,0.534,0.03,0.965,0.61,0.603,0.124,0.548,0.665,,,
Lingshu-32B,0.468,0.403,0.195,0.54,0.292,0.66,0.34,0.355,0.556,0.403,0.57,0.18,0.215,0.616
MedMO-8B-Next,0.325,0.194,0.174,0.307,0.28,0.605,0.2,0.35,0.863,0.583,0.556,0.157,0.204,0.55
Qwen2.5-VL-7B-Instruct,0.238,0.281,0.302,0.513,0.168,0.395,0.265,0.405,0.06,0.601,0.242,0.174,0.237,0.55
Qwen3.5-4B,0.175,0.173,0.174,0.187,0.142,0.395,0.025,0.35,0.08,0.409,0.541,0.123,0.227,0.737
Qwen3-VL-4B-Instruct,0.429,0.397,0.195,0.518,0.245,0.605,0.465,0.44,0.863,0.51,0.347,0.216,0.319,0.609
gemma-4-E4B-it,0.46,0.417,0.51,0.508,0.153,0.365,0.58,0.555,0.854,0.529,0.656,0.19,0.319,0.585
dentalgemma-1.5-4b-it,0.468,0.376,0.383,0.273,0.126,0.605,0.35,0.35,0.854,0.487,0.088,0.015,0.129,0.543
medgemma-4b-it,0.357,0.405,0.174,0.305,0.168,0.605,0.355,0.37,0.836,0.471,0.609,0.171,0.193,0.566
SmolVLM2-2.2B-Instruct,0.048,0.225,0.248,0.236,0.255,0.605,0.355,0.26,0.863,0.361,0.556,0.128,0.215,0.575
InternVL3_5-2B-HF,0.048,0.202,0.57,0.207,0.029,0.395,0.005,0.36,0.062,0.475,0.122,0.0,0.126,0.236
gemma-4-E2B-it,0.048,0.383,0.57,0.423,0.148,0.37,0.5,0.41,0.637,0.602,0.228,0.179,0.255,0.563
InternVL3_5-1B-HF,0.095,0.21,0.174,0.263,0.015,0.605,0.285,0.35,0.08,0.368,0.61,0.0,0.04,0.272
gemini-2.0-flash,0.444,0.36,0.456,0.562,0.168,0.96,0.57,0.515,0.076,0.592,,0.197,0.362,0.639
